page_url,category,subcategory,category_path
https://www.screwfix.com//c/electrical-lighting/outdoor-switches-sockets/cat830538,Electrical lighting,Outdoor switches sockets,/c/electrical-lighting/outdoor-switches-sockets/cat830538
https://www.screwfix.com//c/electrical-lighting/back-boxes/cat7230011,Electrical lighting,Back boxes,/c/electrical-lighting/back-boxes/cat7230011
https://www.screwfix.com//c/electrical-lighting/junction-boxes/cat830522,Electrical lighting,Junction boxes,/c/electrical-lighting/junction-boxes/cat830522
https://www.screwfix.com//c/electrical-lighting/metal-clad-switches-sockets/cat2430004,Electrical lighting,Metal clad switches sockets,/c/electrical-lighting/metal-clad-switches-sockets/cat2430004
https://www.screwfix.com//c/electrical-lighting/grid-modular-wiring/cat830532,Electrical lighting,Grid modular wiring,/c/electrical-lighting/grid-modular-wiring/cat830532
https://www.screwfix.com//c/electrical-lighting/plugs-fuses/cat5300062,Electrical lighting,Plugs fuses,/c/electrical-lighting/plugs-fuses/cat5300062
https://www.screwfix.com//c/electrical-lighting/timers-controllers/cat830128,Electrical lighting,Timers controllers,/c/electrical-lighting/timers-controllers/cat830128
https://www.screwfix.com//c/electrical-lighting/socket-converters/cat830536,Electrical lighting,Socket converters,/c/electrical-lighting/socket-converters/cat830536
https://www.screwfix.com//c/electrical-lighting/combination-plates/cat8060001,Electrical lighting,Combination plates,/c/electrical-lighting/combination-plates/cat8060001
https://www.screwfix.com//c/electrical-lighting/floor-sockets-boxes/cat1470002,Electrical lighting,Floor sockets boxes,/c/electrical-lighting/floor-sockets-boxes/cat1470002
https://www.screwfix.com//c/electrical-lighting/cable-cable-management/cat830108,Electrical lighting,Cable cable management,/c/electrical-lighting/cable-cable-management/cat830108
https://www.screwfix.com//c/electrical-lighting/cable/cat8960001,Electrical lighting,Cable,/c/electrical-lighting/cable/cat8960001
https://www.screwfix.com//c/electrical-lighting/cable-management/cat1150038,Electrical lighting,Cable management,/c/electrical-lighting/cable-management/cat1150038
https://www.screwfix.com//c/electrical-lighting/cable-reels-extension-leads/cat830082,Electrical lighting,Cable reels extension leads,/c/electrical-lighting/cable-reels-extension-leads/cat830082
https://www.screwfix.com//c/electrical-lighting/cable-connectors/cat7230015,Electrical lighting,Cable connectors,/c/electrical-lighting/cable-connectors/cat7230015
https://www.screwfix.com//c/electrical-lighting/cable-ties/cat830570,Electrical lighting,Cable ties,/c/electrical-lighting/cable-ties/cat830570
https://www.screwfix.com//c/electrical-lighting/glands-grommets/cat830484,Electrical lighting,Glands grommets,/c/electrical-lighting/glands-grommets/cat830484
https://www.screwfix.com//c/electrical-lighting/cable-clips/cat830572,Electrical lighting,Cable clips,/c/electrical-lighting/cable-clips/cat830572
https://www.screwfix.com//c/electrical-lighting/terminal-strips-blocks/cat830486,Electrical lighting,Terminal strips blocks,/c/electrical-lighting/terminal-strips-blocks/cat830486
https://www.screwfix.com//c/electrical-lighting/label-printing/cat4370010,Electrical lighting,Label printing,/c/electrical-lighting/label-printing/cat4370010
https://www.screwfix.com//c/electrical-lighting/electrical-tape/cat7230019,Electrical lighting,Electrical tape,/c/electrical-lighting/electrical-tape/cat7230019
https://www.screwfix.com//c/electrical-lighting/crimps/cat830488,Electrical lighting,Crimps,/c/electrical-lighting/crimps/cat830488
https://www.screwfix.com//c/electrical-lighting/cable-sleeving/cat830468,Electrical lighting,Cable sleeving,/c/electrical-lighting/cable-sleeving/cat830468
https://www.screwfix.com//c/electrical-lighting/earthing/cat830482,Electrical lighting,Earthing,/c/electrical-lighting/earthing/cat830482
https://www.screwfix.com//c/electrical-lighting/power-distribution-circuit-protection/cat7230021,Electrical lighting,Power distribution circuit protection,/c/electrical-lighting/power-distribution-circuit-protection/cat7230021
https://www.screwfix.com//c/electrical-lighting/consumer-units/cat7230028,Electrical lighting,Consumer units,/c/electrical-lighting/consumer-units/cat7230028
https://www.screwfix.com//c/electrical-lighting/industrial-controls/cat13520001,Electrical lighting,Industrial controls,/c/electrical-lighting/industrial-controls/cat13520001
https://www.screwfix.com//c/electrical-lighting/mcbs/cat7230022,Electrical lighting,Mcbs,/c/electrical-lighting/mcbs/cat7230022
https://www.screwfix.com//c/electrical-lighting/rcbos/cat7230024,Electrical lighting,Rcbos,/c/electrical-lighting/rcbos/cat7230024
https://www.screwfix.com//c/electrical-lighting/rcds-rccbs/cat7230026,Electrical lighting,Rcds rccbs,/c/electrical-lighting/rcds-rccbs/cat7230026
https://www.screwfix.com//c/electrical-lighting/consumer-unit-accessories/cat8030002,Electrical lighting,Consumer unit accessories,/c/electrical-lighting/consumer-unit-accessories/cat8030002
https://www.screwfix.com//c/electrical-lighting/isolation-switches/cat1930006,Electrical lighting,Isolation switches,/c/electrical-lighting/isolation-switches/cat1930006
https://www.screwfix.com//c/electrical-lighting/site-transformers/cat830094,Electrical lighting,Site transformers,/c/electrical-lighting/site-transformers/cat830094
https://www.screwfix.com//c/electrical-lighting/3-phase-distribution/cat830494,Electrical lighting,3 phase distribution,/c/electrical-lighting/3-phase-distribution/cat830494
https://www.screwfix.com//c/security-ironmongery/safety-lock-offs/cat10780010,Security ironmongery,Safety lock offs,/c/security-ironmongery/safety-lock-offs/cat10780010
https://www.screwfix.com//c/electrical-lighting/domestic-electricals/cat13110001,Electrical lighting,Domestic electricals,/c/electrical-lighting/domestic-electricals/cat13110001
https://www.screwfix.com//c/electrical-lighting/tv-satellite/cat830130,Electrical lighting,Tv satellite,/c/electrical-lighting/tv-satellite/cat830130
https://www.screwfix.com//c/electrical-lighting/cctv-surveillance/cat810224,Electrical lighting,Cctv surveillance,/c/electrical-lighting/cctv-surveillance/cat810224
https://www.screwfix.com//c/electrical-lighting/data-networking/cat830114,Electrical lighting,Data networking,/c/electrical-lighting/data-networking/cat830114
https://www.screwfix.com//c/electrical-lighting/doorbells/cat830116,Electrical lighting,Doorbells,/c/electrical-lighting/doorbells/cat830116
https://www.screwfix.com//c/electrical-lighting/batteries/cat830106,Electrical lighting,Batteries,/c/electrical-lighting/batteries/cat830106
