page_url,category,subcategory,category_code
https://www.trade-point.co.uk/departments/hozelock-7-function-spray-nozzle/1604394_TP.prd,Outdoor & garden,Watering,TPW585901
https://www.trade-point.co.uk/departments/floplast-ring-seal-soil-black-single-socket-soil-pipe-dia-110mm-l-3000mm/80963_TP.prd,Building supplies,Drainage,TPW0997133
https://www.trade-point.co.uk/departments/dewalt-claw-hammer-16oz/3253560510039_TP.prd,Tools & equipment,Hand tools,TPW623213
https://www.trade-point.co.uk/departments/blooma-heavy-duty-galvanised-steel-tee-hinge-l-500mm/5059340456386_TP.prd,Hardware,Gate furniture,TPW0002305
https://www.trade-point.co.uk/departments/diall-chrome-plated-brass-bead-chain-l-2-5m-dia-3-2mm/1520638_TP.prd,Hardware,"Ropes, bungees, straps & chains",TPW796654
https://www.trade-point.co.uk/departments/magnusson-1200mm-box-spirit-level/1782712_TP.prd,Tools & equipment,Hand tools,TPW623226
https://www.trade-point.co.uk/departments/smith-locke-black-braided-steel-security-cable-l-3m-dia-15mm/1731775_TP.prd,Hardware,Vehicle & exterior security,TPW0002316
https://www.trade-point.co.uk/departments/goodhome-elland-matt-white-grey-marble-effect-polyresin-freestanding-soap-dispenser/5059340204161_TP.prd,Bathroom,Bathroom accessories,TPW822391
https://www.trade-point.co.uk/departments/karcher-plug-clean-car-shampoo-1l-bottle/203978_TP.prd,Tools & equipment,Automotive,TPW589096
https://www.trade-point.co.uk/departments/mapei-fast-set-grey-tile-adhesive-20kg/38140_TP.prd,Flooring & tiling,"Tiling grouts, sealers & adhesives",TPW566475
https://www.trade-point.co.uk/departments/goodhome-kala-stone-effect-black-worktop-edging-tape-l-3m-w-42mm/5059340145198_TP.prd,Kitchen,Kitchen worktops,TPW824275
https://www.trade-point.co.uk/departments/rowlinson-timber-spiked-border-edging-h-150mm-l-1-2m/5013856992783_TP.prd,Outdoor & garden,Lawn & plant care,TPW581113
https://www.trade-point.co.uk/departments/hozelock-2-way-hose-pipe-connector-21mm/5010646058018_TP.prd,Outdoor & garden,Watering,TPW780523
https://www.trade-point.co.uk/departments/munstead-lavender-seed/3663602520092_TP.prd,Outdoor & garden,"Plants, seeds & bulbs",TPW581227
https://www.trade-point.co.uk/departments/the-house-nameplate-company-black-white-slate-rectangular-house-number-11-h-102mm-w-140mm/255155_TP.prd,Hardware,House signs,TPW580761
https://www.trade-point.co.uk/departments/goodhome-atomia-grey-oak-effect-pull-out-shoe-rack-w-500mm/5059340532073_TP.prd,"Home, furniture & storage",Storage & shelving,TPW580679
