media,page_url,features,rating,rating_count,price
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_05.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_06.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000126830_07.jpg']",https://www.wickes.co.uk/Keter-Samoa-Grey-Storage-Box---270L/p/288472,"['Ideal outdoor storage box for garden tools and equipment, furniture cushions, garden games and accessories', 'Decorative,elegant rattan style with 270L capacity keeping all ventilated and dry', 'Made from durable, low-maintenance, weather-resistance resin to last season after season', 'Easy to assemble, taking less than five minutes to put together with no additional tools, and easy to move with built-in handles and rollers', 'Super durable and multi-purpose as it can support up to 150kg on its lid']",4.5,4,32.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133706_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133706_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133706_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133706_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133706_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133706_05.jpg']",https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Autumn-Gold---5L/p/133706,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.5,274,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086512_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086512_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086512_02.jpg']",https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Concrete-Grey---5L/p/278454,"['Suitable for exterior walls', 'Mould and algae protected paint film', 'Easy application', 'Rainproof', 'Water based', 'UV protection', '15 long years of lasting protection', 'Remove paint from the brush or roller with a cloth and then wash it with water']",5.0,4,22.0
['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I9026_231189_01.jpg'],https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Autumn-Brown---5L/p/275166,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.8,5,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133708_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133708_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133708_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133708_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133708_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133708_05.jpg']",https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Forest-Oak---5L/p/133708,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.9,513,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086513_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086513_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086513_02.jpg']",https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Gardenia---5L/p/278455,"['Suitable for exterior walls', 'Mould and algae protected paint film', 'Easy application', 'Rainproof', 'Water based', 'UV protection', '15 long years of lasting protection', 'Remove paint from the brush or roller with a cloth and then wash it with water']",5.0,5,22.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133707_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133707_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133707_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133707_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133707_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/I0960_133707_05.jpg']",https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Forest-Green---5L/p/133707,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.8,405,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/W2210_200247_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/W2210_200247_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/W2210_200247_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/W2210_200247_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/W2210_200247_04.jpg']",https://www.wickes.co.uk/Wickes-Multi-Purpose-Top-Soil---25L/p/200247,"['Perfect for creating beds and borders', 'Ideal for general garden use', 'Can also be used for lawn preparation', 'Sterilised, lime and chalk free', 'Specially selected and graded soil']",4.7,5170,4.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_05.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122450_06.jpg']",https://www.wickes.co.uk/Flymo-EasiGlide-360-Electric-Lawn-Mower---1800W/p/292765,"['Hover technology, the mower is powered on a cushion of air. Allowing free moving mowing', 'A powerful 1800W motor', 'Design allows for the mower to be store upon the wall', 'On-top grass box allowing for an easy to empty grass box', 'Easy to tidy away the cables with cable storage']",3.5,2,120.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122574_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122574_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000122574_02.jpg']",https://www.wickes.co.uk/Miracle-Gro-Peat-Free-All-purpose-Compost---50L/p/292844,"['Ideal for all plants in beds, borders, hanging baskets, pots and containers', 'Contains fibre smart for optimum balance of air and water providing strong root growth', 'Feeds for up to 3 months', 'Outperforms ordinary peat free compost', 'Unique combination of 14 vital minerals, N, P, K and trace elements, vital for maintaining plant health', 'Contains coir, an organic component that provides a near perfect pH balance and absorbs more water']",4.4,268,7.5
