shop_id,category_id,subcategory_id,product_name,page_url,image_url,price,rating,rating_count
4,0,0,Einhell Classic GC-EM 1032 Electric Lawn Mower - 1000W,https://www.wickes.co.uk/Einhell-Classic-GC-EM-1032-Electric-Lawn-Mower---1000W/p/236217,https://media.wickes.co.uk/is/image/wickes/GPID_1100745170_00?$normal$,52,4.5,88
4,0,0,Hozelock Auto Rewind Reel with Hose Pipe - 30m,https://www.wickes.co.uk/Hozelock-Auto-Rewind-Reel-with-Hose-Pipe---30m/p/199368,https://media.wickes.co.uk/is/image/wickes/GPID_1100571626_00?$normal$,120,4.7,413
4,0,0,Hozelock 2415 2 in 1 Compact Enclosed Reel with Hose Pipe - 25m,https://www.wickes.co.uk/Hozelock-2415-2-in-1-Compact-Enclosed-Reel-with-Hose-Pipe---25m/p/114574,https://media.wickes.co.uk/is/image/wickes/H9491_114574_00?$normal$,45,4.3,118
4,0,0,Hozelock Auto Rewind Reel with Hose Pipe - 40m,https://www.wickes.co.uk/Hozelock-Auto-Rewind-Reel-with-Hose-Pipe---40m/p/199369,https://media.wickes.co.uk/is/image/wickes/GPID_1100571627_00?$normal$,130,4.8,263
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Black - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Black---5L/p/156459,https://media.wickes.co.uk/is/image/wickes/GPID_1100089001_00?$normal$,10,4.9,361
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Green Ivy - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Green-Ivy---5L/p/278499,https://media.wickes.co.uk/is/image/wickes/GPID_5000086533_00?$normal$,22,4.9,9
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Black - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Black---5L/p/278459,https://media.wickes.co.uk/is/image/wickes/GPID_5000086517_00?$normal$,22,5.0,3
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Buttermilk - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Buttermilk---5L/p/278470,https://media.wickes.co.uk/is/image/wickes/GPID_5000086528_00?$normal$,22,4.9,7
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Delicate Pine - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Delicate-Pine---5L/p/278254,https://media.wickes.co.uk/is/image/wickes/GPID_5000084146_00?$normal$,10,4.2,14
4,0,0,Einhell GE-CM 18/33 Li Cordless Lawnmower Kit,https://www.wickes.co.uk/Einhell-GE-CM-18-33-Li-Cordless-Lawnmower-Kit/p/236219,https://media.wickes.co.uk/is/image/wickes/GPID_1100745172_00?$normal$,150,4.7,48
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Classic Cream - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Classic-Cream---5L/p/278471,https://media.wickes.co.uk/is/image/wickes/GPID_5000086529_00?$normal$,22,5.0,5
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Harvest Brown - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Harvest-Brown---5L/p/133709,https://media.wickes.co.uk/is/image/wickes/I0960_133709_00?$normal$,10,4.8,301
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Sandstone - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Sandstone---5L/p/278456,https://media.wickes.co.uk/is/image/wickes/GPID_5000086514_00?$normal$,22,4.0,2
4,0,0,IRO Mountain Grey Sleeper - 100 x 150 x 1200mm,https://www.wickes.co.uk/IRO-Mountain-Grey-Sleeper---100-x-150-x-1200mm/p/256892,https://media.wickes.co.uk/is/image/wickes/GPID_5000034019_00?$normal$,15,4.5,20
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Herring Grey - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Herring-Grey---5L/p/278251,https://media.wickes.co.uk/is/image/wickes/GPID_5000084143_00?$normal$,10,4.9,13
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Ashen White - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Ashen-White---5L/p/278469,https://media.wickes.co.uk/is/image/wickes/GPID_5000086527_00?$normal$,22,0.0,0
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Rich Cedar - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Rich-Cedar---5L/p/133710,https://media.wickes.co.uk/is/image/wickes/I0960_133710_00?$normal$,10,4.9,106
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Frosted Lake - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Frosted-Lake---5L/p/278474,https://media.wickes.co.uk/is/image/wickes/GPID_5000086532_00?$normal$,22,5.0,2
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Cornish Cream - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Cornish-Cream---5L/p/278473,https://media.wickes.co.uk/is/image/wickes/GPID_5000086531_00?$normal$,22,0.0,0
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Misty Healthland - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Misty-Healthland---5L/p/278252,https://media.wickes.co.uk/is/image/wickes/GPID_5000084144_00?$normal$,10,3.6,12
4,0,0,Cuprinol 5 Year Ducksback Matt Shed & Fence Treatment - Dusted Aloe - 5L,https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Dusted-Aloe---5L/p/278253,https://media.wickes.co.uk/is/image/wickes/GPID_5000084145_00?$normal$,10,3.7,18
4,0,0,Dulux Weathershield All Weather Purpose Smooth Paint - Warm Truffle - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Warm-Truffle---5L/p/278509,https://media.wickes.co.uk/is/image/wickes/GPID_5000086539_00?$normal$,22,0.0,0
4,0,0,Dulux Weathershield All Weather Purpose Textured Paint - Pure Brilliant White - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Textured-Paint---Pure-Brilliant-White---5L/p/278457,https://media.wickes.co.uk/is/image/wickes/GPID_5000086515_00?$normal$,22,0.0,0
4,0,0,Gardena Classic Hose - 30m,https://www.wickes.co.uk/Gardena-Classic-Hose---30m/p/287069,https://media.wickes.co.uk/is/image/wickes/GPID_5000103587_00?$normal$,20,0.0,0
4,0,0,Dulux Weathershield All Weather Purpose Textured Paint - Concrete Grey - 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Textured-Paint---Concrete-Grey---5L/p/278546,https://media.wickes.co.uk/is/image/wickes/GPID_5000086540_00?$normal$,22,0.0,0
4,0,0,Flymo EasiCut 450 18V Cordless Hedge Trimmer - 18V,https://www.wickes.co.uk/Flymo-EasiCut-450-18V-Cordless-Hedge-Trimmer---18V/p/284352,https://media.wickes.co.uk/is/image/wickes/GPID_5000091975_00?$normal$,125,0.0,0
4,0,0,Flymo Simplimow 320 Power for All Alliance Kit - 1 x 18V,https://www.wickes.co.uk/Flymo-Simplimow-320-Power-for-All-Alliance-Kit---1-x-18V/p/292766,https://media.wickes.co.uk/is/image/wickes/GPID_5000122451_00?$normal$,230,0.0,0
4,0,0,Keter Store It Out Midi Storage - Grey & Black,https://www.wickes.co.uk/Keter-Store-It-Out-Midi-Storage---Grey+Black/p/286465,https://media.wickes.co.uk/is/image/wickes/GPID_5000103141_00?$normal$,124,4.5,121
